bin,pbm_name,email
24532,AssistRx,**need email**
14179,Benecard,NetworkQuality@benecardpbf.com
17688,Benecard,NetworkQuality@benecardpbf.com
610852,Capital RX,Provider.Relations@cap-rx.com
610084,Caremark,RxServices@CVSCaremark.com
4336,Caremark,RxServices@CVSCaremark.com
12114,Caremark,RxServices@CVSCaremark.com
13089,Caremark,RxServices@CVSCaremark.com
20099,Caremark,RxServices@CVSCaremark.com
20107,Caremark,RxServices@CVSCaremark.com
20115,Caremark,RxServices@CVSCaremark.com
20123,Caremark,RxServices@CVSCaremark.com
610029,Caremark,RxServices@CVSCaremark.com
610239,Caremark,RxServices@CVSCaremark.com
610415,Caremark,RxServices@CVSCaremark.com
610449,Caremark,RxServices@CVSCaremark.com
610468,Caremark,RxServices@CVSCaremark.com
610474,Caremark,RxServices@CVSCaremark.com
610502,Caremark,RxServices@CVSCaremark.com
610591,Caremark,RxServices@CVSCaremark.com
610269,Caremark,RxServices@CVSCaremark.com
610235,Caremark,RxServices@CVSCaremark.com
8019,Caremark,RxServices@CVSCaremark.com
21957,Drexi,support@drexi.com
17290,Drexi,support@drexi.com
18448,Drexi,support@drexi.com
13824,DST,rservice@dsthealth.com
15581,DST,rservice@dsthealth.com
15599,DST,rservice@dsthealth.com
15814,DST,rservice@dsthealth.com
17010,DST,rservice@dsthealth.com
18265,DST,rservice@dsthealth.com
18612,DST,rservice@dsthealth.com
19158,DST,rservice@dsthealth.com
19439,DST,rservice@dsthealth.com
19520,DST,rservice@dsthealth.com
20958,DST,rservice@dsthealth.com
21700,DST,rservice@dsthealth.com
600428,DST,rservice@dsthealth.com
610220,DST,rservice@dsthealth.com
610225,DST,rservice@dsthealth.com
610237,DST,rservice@dsthealth.com
610315,DST,rservice@dsthealth.com
610649,DST,rservice@dsthealth.com
610709,DST,rservice@dsthealth.com
610728,DST,rservice@dsthealth.com
20669,DST,rservice@dsthealth.com
1553,DST,rservice@dsthealth.com
4880,Employer Health Options,**need email**
18232,Enclara Hospice,**need email**
9803,MedImpact,Pharmacyoperationssups@medimpact.com
9893,MedImpact,Pharmacyoperationssups@medimpact.com
12312,MedImpact,Pharmacyoperationssups@medimpact.com
19819,MedImpact,Pharmacyoperationssups@medimpact.com
21783,MedImpact,Pharmacyoperationssups@medimpact.com
610303,MedImpact,Pharmacyoperationssups@medimpact.com
610748,MedImpact,Pharmacyoperationssups@medimpact.com
3592,Express Scripts,NetworkCompliance@express-scripts.com
3858,Express Scripts,NetworkCompliance@express-scripts.com
13865,Express Scripts,NetworkCompliance@express-scripts.com
19363,Express Scripts,NetworkCompliance@express-scripts.com
400004,Express Scripts,NetworkCompliance@express-scripts.com
610014,Express Scripts,NetworkCompliance@express-scripts.com
610031,Express Scripts,NetworkCompliance@express-scripts.com
610041,Express Scripts,NetworkCompliance@express-scripts.com
610056,Express Scripts,NetworkCompliance@express-scripts.com
21841,FairosRx,providerinfo@scriptcare.com
15284,Gateway - Citizens Rx,info@citizensrx.com
15995,GoodRx (Discount Card),**need email**
18729,Healthcare Highways,providerrelations@hchrx.com
12874,Healthesystems,**need email**
14658,Integrated Prescription Management,pharmacycontracts@rxipm.com
610114,Integrated Prescription Management,pharmacycontracts@rxipm.com
54237,Key Health Care,**need email**
22659,Magellan Medicaid,RxNetworksDept@magellanhealth.com
15243,Magellan Pharmacy Solutions,RxNetworksDept@magellanhealth.com
16523,Magellan Pharmacy Solutions,RxNetworksDept@magellanhealth.com
17035,Magellan Pharmacy Solutions,RxNetworksDept@magellanhealth.com
17431,Magellan Pharmacy Solutions,RxNetworksDept@magellanhealth.com
17449,Magellan Pharmacy Solutions,RxNetworksDept@magellanhealth.com
18679,Magellan Pharmacy Solutions,RxNetworksDept@magellanhealth.com
20701,Magellan Pharmacy Solutions,RxNetworksDept@magellanhealth.com
21247,Magellan Pharmacy Solutions,RxNetworksDept@magellanhealth.com
23971,MaxCare,pharmacynetworks@maxcarerx.com
610170,MaxCare,pharmacynetworks@maxcarerx.com
5377,Maxor Plus,providerrelations@maxor.com
20040,MedOne Healthcare Systems,providerrelations@medone-rx.com
25169,MedImpact,PharmacyOperationsSups@medimpact.com
3585,MedImpact,PharmacyOperationsSups@medimpact.com
12882,MedImpact,PharmacyOperationsSups@medimpact.com
13113,MedImpact,PharmacyOperationsSups@medimpact.com
14988,MedImpact,PharmacyOperationsSups@medimpact.com
15517,MedImpact,PharmacyOperationsSups@medimpact.com
15921,MedImpact,PharmacyOperationsSups@medimpact.com
16516,MedImpact,PharmacyOperationsSups@medimpact.com
17142,MedImpact,PharmacyOperationsSups@medimpact.com
17720,MedImpact,PharmacyOperationsSups@medimpact.com
18050,MedImpact,PharmacyOperationsSups@medimpact.com
610280,MedImpact,PharmacyOperationsSups@medimpact.com
610312,MedImpact,PharmacyOperationsSups@medimpact.com
19611,MedImpact,Pharmacyoperationssups@medimpact.com
24624,MedOne Healthcare Systems,providerrelations@medone-rx.com
21775,MedOne Healthcare Systems,providerrelations@medone-rx.com
25706,MedOne Healthcare Systems,providerrelations@medone-rx.com
