ndc,wac,pkg_size,pkg_size_mult,generic_indicator
24689014105,142.12,1000.0,1.0,Y
43598017111,2995.0,1.0,1.0,Y
24689014102,12.79,90.0,1.0,Y
62332075730,181.01,30.0,1.0,Y
71205086155,1749.81,500.0,1.0,Y
65219043315,48.8,1.0,10.0,Y
70700018623,66.0,10.0,10.0,Y
68462065790,179.22,90.0,1.0,Y
58160082152,722.4,1.0,10.0,N
13668009030,210.0,30.0,1.0,Y
71205086160,209.98,60.0,1.0,Y
50111078751,15.0,6.0,1.0,Y
60505290103,575.38,30.0,1.0,Y
69452034820,11.0,100.0,1.0,Y
68462038160,79.21,60.0,1.0,Y
68382056410,146.81,1000.0,1.0,Y
65162089903,9.19,30.0,1.0,Y
58394001603,1.26,1.0,1.0,N
65162089909,27.57,90.0,1.0,Y
09492246443,264.95,0.0,1.0,N
70069075301,12.6,50.0,1.0,Y
71205098155,112.48,500.0,1.0,Y
00536126958,2.68,177.0,1.0,Y
75907003901,105.85,100.0,1.0,Y
13668022005,141.67,500.0,1.0,Y
57237015490,57.0,90.0,1.0,Y
00228311711,1132.72,100.0,1.0,Y
45802065065,2.5,30.0,1.0,Y
71205086172,419.95,120.0,1.0,Y
68084069801,49.48,100.0,1.0,Y
00781713883,86.96,8.0,1.0,Y
62135059712,418.8,120.0,1.0,Y
70069075310,126.0,50.0,10.0,Y
71376020203,1565.21,100.0,1.0,N
24470096520,150.22,1.0,1.0,Y
72603047501,90000.0,1.0,1.0,Y
00025146160,352.7,60.0,1.0,N
60687088601,49.36,100.0,1.0,Y
62332000191,100.0,1000.0,1.0,Y
10135058801,88.0,100.0,1.0,Y
70756041011,205.0,100.0,1.0,Y
57237003475,20.45,75.0,1.0,Y
72162247503,27.91,30.0,1.0,Y
23155073610,180.0,1000.0,1.0,Y
68180075601,22.25,100.0,1.0,Y
70436016702,256.54,500.0,1.0,Y
64015421514,219.02,0.0,1.0,N
70436016701,51.31,100.0,1.0,Y
71205098160,18.6,60.0,1.0,Y
62332038760,233.95,60.0,1.0,Y
00904053061,3.09,100.0,1.0,Y
55150016509,26.59,5.0,10.0,Y
70677105001,6.99,20.0,1.0,N
75289715201,249.32,0.0,1.0,N
68084070825,18.35,30.0,1.0,Y
55150016505,26.59,5.0,10.0,Y
43598005111,2661.35,2.0,1.0,Y
49884021255,95.58,30.0,1.0,Y
67877024760,10.75,60.0,1.0,Y
62135047760,600.0,60.0,1.0,Y
60687062001,57.6,100.0,1.0,Y
00121213440,149.74,6.0,40.0,Y
70069075325,315.0,50.0,25.0,Y
62135060712,360.0,120.0,1.0,Y
10702027703,20.0,30.0,1.0,Y
71205098172,33.74,120.0,1.0,Y
