ndc,drug_name,bg,effective_date,aac
00338964975,DEXTROSE 5%/WATER IV SOLN ,G,2025-05-28 00:00:00,0.00639
00338965360,DEXTROSE 5%/WATER IV SOLN ,G,2025-05-28 00:00:00,0.00639
71656008904,FLUOXETINE 20 MG/5 ML SOLN,G,2025-05-29 00:00:00,0.14112
00338965775,SODIUM CHLORIDE 0.9% SOLN,N,2024-08-07 00:00:00,0.01702
00338966160,SODIUM CHLORIDE 0.9% SOLN,N,2024-08-07 00:00:00,0.01702
00378410591,ABACAVIR SULFATE 300 MG TAB,G,2025-02-05 00:00:00,0.37322
00904687404,ABACAVIR SULFATE 300 MG TAB,G,2025-02-05 00:00:00,0.37322
00904687406,ABACAVIR SULFATE 300 MG TAB,G,2025-02-05 00:00:00,0.37322
31722055760,ABACAVIR SULFATE 300 MG TAB,G,2025-02-05 00:00:00,0.37322
51079020406,ABACAVIR SULFATE 300 MG TAB,G,2025-02-05 00:00:00,0.37322
65862007360,ABACAVIR SULFATE 300 MG TAB,G,2025-02-05 00:00:00,0.37322
68084002121,ABACAVIR SULFATE 300 MG TAB,G,2025-02-05 00:00:00,0.37322
69097051403,ABACAVIR SULFATE 300 MG TAB,G,2025-02-05 00:00:00,0.37322
42385096230,ABACAVIR SULFATE/LAMIVUDINE 600-300 MG TAB,G,2025-02-05 00:00:00,1.59392
65862033530,ABACAVIR SULFATE/LAMIVUDINE 600-300 MG TAB,G,2025-02-05 00:00:00,1.59392
69097036202,ABACAVIR SULFATE/LAMIVUDINE 600-300 MG TAB,G,2025-02-05 00:00:00,1.59392
59148000813,ABILIFY 10 MG TAB,B,2021-12-15 00:00:00,18.92513
59148000913,ABILIFY 15 MG TAB,B,2021-12-15 00:00:00,19.19609
59148000613,ABILIFY 2 MG TAB,B,2021-12-15 00:00:00,19.13822
59148001013,ABILIFY 20 MG TAB,B,2021-12-15 00:00:00,26.89479
59148001113,ABILIFY 30 MG TAB,B,2021-12-15 00:00:00,26.7029
59148000713,ABILIFY 5 MG TAB,B,2021-12-15 00:00:00,18.83667
59148010280,ABILIFY ASIMTUFII 720 MG/2.4ML,B,2025-01-01 00:00:00,1769.89192
59148011480,ABILIFY ASIMTUFII 960 MG/3.2ML,B,2025-01-01 00:00:00,1743.94504
59148004580,ABILIFY MAINTENA ER 300 MG SYR,B,2025-01-01 00:00:00,2083.20719
59148001871,ABILIFY MAINTENA ER 300 MG VL,B,2025-05-29 00:00:00,2096.588
59148023212,ABILIFY MAINTENA ER 300 MG VL,B,2025-05-29 00:00:00,2096.588
59148007280,ABILIFY MAINTENA ER 400 MG SYR,B,2025-05-29 00:00:00,2787.16385
59148024512,ABILIFY MAINTENA ER 400 MG VL,B,2025-05-29 00:00:00,2800.03231
00143959721,ABIRATERONE ACETATE 250 MG TAB,G,2025-05-29 00:00:00,0.74043
